Time,T_meas
1530000,-1
1533600,-0.4
1537200,-0.1
1540800,-0.3
1544400,0.1
1548000,-0.4
1551600,-0.6
1555200,-0.6
1558800,-0.7
1562400,-1
1566000,-2.1
1569600,-2.1
1573200,-2.8
1576800,-3.7
1580400,-3.5
1584000,-3.8
1587600,-4.4
1591200,-4.8
1594800,-3.1
1598400,-3.1
1602000,-4.1
1605600,-4.2
1609200,-4.7
1612800,-2.9
1616400,-2.4
1620000,-2.5
1623600,-3.2
1627200,-2.3
1630800,-2.1
1634400,-1.3
1638000,-0.4
1641600,-0.6
1645200,-1.2
1648800,-0.5
1652400,0.5
1656000,0.6
1659600,-0.1
1663200,0.3
1666800,0.1
1670400,0.2
1674000,0.1
1677600,0.5
1681200,0.2
1684800,0.3
1688400,0.2
1692000,0.6
1695600,0.7
1699200,0.7
1702800,0.8
1706400,1
1710000,1
1713600,0
1717200,-1.7
1720800,-1.2
1724400,-2.7
1728000,-0.1
1731600,0.6
1735200,-0.2
1738800,1.1
1742400,0.8
1746000,0.8
1749600,0.5
1753200,0.2
1756800,0
1760400,1.3
1764000,2
1767600,0.5
1771200,1.1
1774800,2.3
1778400,2.7
1782000,2.1
1785600,2.3
1789200,2.4
1792800,2.8
1796400,2.9
1800000,4.2
1803600,3.6
1807200,2.9
1810800,4.4
1814400,4.5
1818000,3.7
1821600,4
1825200,4.6
1828800,3.3
1832400,3.5
1836000,3.4
1839600,4.6
1843200,4.5
1846800,4.9
1850400,4.2
1854000,4.9
1857600,4.8
1861200,4.3
1864800,4
1868400,4
1872000,4.1
1875600,3.9
1879200,3.4
1882800,2.9
1886400,3.4
1890000,3.8
1893600,3.8
1897200,3.3
1900800,4.3
1904400,6.3
1908000,5.2
1911600,4.4
1915200,4.9
1918800,3
1922400,3.6
1926000,2.6
1929600,1.4
1933200,3.4
1936800,3.3
1940400,2.7
1944000,3.1
1947600,2.4
1951200,3.1
1954800,6
1958400,6.9
1962000,7.6
1965600,7.6
1969200,7.8
1972800,6.2
1976400,7.7
1980000,6.5
1983600,7.4
1987200,7.6
1990800,7.4
1994400,6.8
1998000,6.5
2001600,6.8
2005200,6.6
2008800,6.8
2012400,6.8
2016000,6.1
2019600,6
2023200,6
2026800,5.9
2030400,6
2034000,6
2037600,5.9
2041200,5.6
2044800,4.9
2048400,4.4
2052000,4.4
2055600,4.3
2059200,3.8
2062800,3.9
2066400,3.6
2070000,2.1
2073600,0.4
2077200,-0.1
2080800,-0.9
2084400,-1.6
2088000,-0.5
2091600,-0.7
2095200,-1.1
2098800,-0.4
2102400,1.6
2106000,3.7
2109600,4.1
2113200,4.3
2116800,4.6
2120400,3.6
2124000,2.7
2127600,1.9
2131200,0.4
2134800,0.4
2138400,0.1
2142000,-0.4
2145600,-0.7
2149200,-0.7
2152800,0.1
2156400,-0.4
2160000,0.1
2163600,-1.1
2167200,1.9
2170800,1.2
2174400,0.6
2178000,0.7
2181600,1
2185200,1.1
2188800,1.9
2192400,1.3
2196000,0.6
2199600,0.9
2203200,2
2206800,0.4
2210400,-0.3
2214000,0.6
2217600,0.7
2221200,1.6
2224800,3.3
2228400,3.8
2232000,1.3
2235600,3.6
2239200,4
2242800,4.8
2246400,4.8
2250000,5.1
2253600,4.8
2257200,4.3
2260800,5.2
2264400,2.5
2268000,1.9
2271600,1.7
2275200,1.5
2278800,0.3
2282400,0.8
2286000,0.8
2289600,0.6
2293200,2.1
2296800,-0.7
2300400,1.1
2304000,1.4
2307600,2.7
2311200,3.3
2314800,3.5
2318400,1.1
2322000,0.9
2325600,2.2
2329200,2.5
2332800,2.5
2336400,3.1
2340000,4.1
2343600,5.2
2347200,4.8
2350800,4.7
2354400,5.1
2358000,5.1
2361600,4.9
2365200,4.7
2368800,4.8
2372400,4.4
2376000,3.2
2379600,3
2383200,3
2386800,3.3
2390400,3.5
2394000,4.2
2397600,3.3
2401200,3.4
2404800,4.5
2408400,4.3
2412000,4.7
2415600,4.9
