Time,Hv
1810800,4452
1814400,4087
1818000,2706
1821600,2837
1825200,3901
1828800,3026
1832400,4406
1836000,5357
1839600,7418
1843200,6156
1846800,7813
1850400,7097
1854000,8096
1857600,8118
1861200,8116
1864800,7569
1868400,7255
1872000,6117
1875600,4218
1879200,1971
1882800,513
1886400,0
1890000,0
1893600,864
1897200,117
1900800,1102
1904400,2292
1908000,2056
1911600,942
1915200,2402
1918800,2769
1922400,5596
1926000,6810
1929600,5800
1933200,10229
1936800,10681
1940400,10263
1944000,10487
1947600,9311
1951200,8970
1954800,11546
1958400,10683
1962000,8647
1965600,5432
1969200,4719
1972800,1614
1976400,2355
1980000,4319
1983600,5783
1987200,6005
1990800,5140
1994400,3470
1998000,4264
2001600,3567
2005200,5862
2008800,7502
2012400,10917
2016000,9597
2019600,11744
2023200,13038
2026800,12705
2030400,11884
2034000,11955
2037600,11130
2041200,10528
2044800,8161
2048400,5792
2052000,3588
2055600,2559
2059200,1029
2062800,579
2066400,1758
2070000,1843
2073600,0
2077200,0
2080800,0
2084400,0
2088000,70
2091600,1876
2095200,2504
2098800,5309
2102400,6449
2106000,9360
2109600,10194
2113200,10744
2116800,10857
2120400,10451
2124000,9362
2127600,8417
2131200,5802
2134800,3525
2138400,2141
2142000,972
2145600,0
2149200,0
2152800,2120
2156400,1994
2160000,2550
2163600,1281
2167200,3786
2170800,3491
2174400,4209
2178000,6737
2181600,9679
2185200,12216
2188800,12155
2192400,12778
2196000,12034
2199600,12897
2203200,13928
2206800,11701
2210400,10293
2214000,10009
2217600,8878
2221200,7044
2224800,6308
2228400,4783
2232000,327
2235600,519
2239200,1941
2242800,1807
2246400,1394
2250000,1245
2253600,1179
2257200,1005
2260800,2644
2264400,679
2268000,470
2271600,1422
2275200,0
2278800,0
2282400,0
2286000,0
2289600,0
2293200,0
2296800,0
2300400,0
2304000,0
2307600,0
2311200,0
2314800,0
2318400,0
2322000,0
2325600,627
2329200,990
2332800,547
2336400,786
2340000,933
2343600,1447
2347200,1105
2350800,1189
2354400,1728
2358000,3114
2361600,1033
2365200,746
2368800,745
2372400,43
2376000,0
2379600,0
2383200,0
2386800,0
2390400,0
2394000,0
2397600,0
2401200,0
2404800,0
2408400,0
2412000,1337
2415600,1830
