Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
244800,12.57,12.57,0.47645,30,200000,0,0,441000,208400,23.815613,50
248400,12.43,12.43,0.47645,30,200123.9982,0,0,352800,209200,23.836,50
252000,12.43,12.43,0.47645,30,200109.4604,0,0,264600,208600,23.859737,50
255600,12.18,12.18,0.47645,30,200053.7147,0,0,176400,209500,23.910006,50
259200,12.12,12.12,0.47645,30,200000,0,0,176400,211700,23.933083,50
262800,12.03,12.03,0.47645,30,199981.5606,0,0,170520,204800,23.960056,50
266400,11.96,11.96,0.47645,30,199988.8306,0,0,170520,210300,23.973192,50
270000,11.98,11.98,0.47645,30,199995.938,0,0,158760,208500,24.01395,50
273600,11.63,11.63,0.47645,30,200000,0,0,152880,214300,24.080114,50
277200,11.75,11.75,0.47645,30,200001.0689,0,0,147000,211600,24.056477,50
280800,11.73,11.73,0.47645,30,200000,0,0,147000,211600,24.05777,50
284400,11.75,11.75,0.47645,30,199999.7328,0,0,294000,209400,24.047781,50
288000,11.79,11.79,0.47645,30,200000,0,0,441000,209000,24.031342,50
291600,11.84,11.84,0.47645,30,200000.0273,0,0,646800,208100,23.97999,50
295200,12.16,12.16,0.47645,30,200000,0,0,646800,209300,23.887026,50
298800,12.42,12.42,0.47645,30,200000,0,0,1029000,211600,23.817463,50
302400,12.72,12.72,0.47645,30,200000,0,0,1176000,212200,23.749607,50
306000,13.26,13.26,0.47645,30,200000,0,0,1234800,205100,23.704937,50
309600,13.49,13.49,0.47645,30,200000,0,0,1234800,207000,23.70831,50
313200,14.09,14.09,0.47645,30,200000,0,0,1176000,206600,23.745527,50
316800,14.27,14.27,0.47645,30,200000,0,0,1029000,208300,23.765451,50
320400,14.25,14.25,0.47645,30,200000,0,0,882000,206400,23.752483,50
324000,14.05,14.05,0.47645,30,200000,0,0,735000,205400,23.726198,50
327600,13.86,13.86,0.47645,30,200000,0,0,588000,203300,23.72252,50
331200,12.71,12.71,0.47645,30,200000,0,0,441000,211300,23.810736,50
334800,12.22,12.22,0.47645,30,200000,0,0,352800,209700,23.908339,50
338400,12.05,12.05,0.47645,30,200000,0,0,264600,207600,23.978392,50
342000,11.77,11.77,0.47645,30,200000,0,0,176400,210600,24.042587,50
345600,11.77,11.77,0.47645,30,200000,0,0,176400,209200,24.08289,50
349200,11.5,11.5,0.47645,30,200000,0,0,170520,210700,24.182083,50
352800,11.31,11.31,0.47645,30,200000,0,0,164640,210100,24.285908,50
356400,11.03,11.03,0.47645,30,200000,0,0,158760,207000,24.404425,50
360000,10.87,10.87,0.47645,30,200000,0,0,152880,197900,24.495487,50
363600,10.69,10.69,0.47645,30,200000,0,0,152880,199500,24.492996,50
367200,11.03,11.03,0.47645,30,200000,0,0,147000,196400,24.34732,50
370800,11.23,11.23,0.47645,30,200000,0,0,294000,194000,24.138727,50
374400,12.14,12.14,0.47645,30,200000,0,0,441000,195100,23.872839,50
378000,12.68,12.68,0.47645,30,200000,0,0,646800,206300,23.749586,50
381600,13.35,13.35,0.47645,30,200000,0,0,882000,210900,23.702234,50
385200,13.48,13.48,0.47645,30,200000,0,0,1029000,207100,23.727745,50
388800,14.42,14.42,0.47645,30,200000,0,0,1176000,205100,23.872757,50
392400,15.22,15.22,0.47645,30,200000,0,0,1234800,204800,24.155245,50
396000,15.89,15.89,0.47645,30,200000,0,0,1234800,207700,24.506691,50
399600,16.47,16.47,0.47645,30,200000,0,0,1176000,179800,25.000055,50
403200,17.38,17.38,0.47645,30,200000,0,0,1029000,189900,25.240788,50
406800,16.68,16.68,0.47645,30,200000,0,0,882000,191100,24.910988,50
